strategy,project,trigger_count,trigger_days,scheduled_builds,median_detection_days_mean,baseline_detection_days,builds_per_day,baseline_detection_builds,avg_builds_per_trigger,estimated_detection_days,estimated_detection_builds,sampled_offset_mean,normalized_line_change_mean
strategy1_median,arrow,249,249,620.0,2.4899598393574296,2.0,1.0,2.0,2.4899598393574296,0.0,0.0,,
strategy1_median,c-blosc2,89,89,3249.0,36.43258426966292,43.0,1.0,43.0,36.50561797752809,0.0,0.0,,
strategy1_median,clamav,59,59,5786.0,97.83050847457628,118.0,1.0,118.0,98.0677966101695,0.0,0.0,,
strategy1_median,curl,605,605,997.0,1.6479338842975206,2.0,1.0,2.0,1.6479338842975206,0.0,0.0,,
strategy1_median,file,3,3,36.0,12.0,2.0,1.0,2.0,12.0,0.0,0.0,,
strategy1_median,fluent-bit,347,347,2142.0,6.126801152737752,6.0,1.0,6.0,6.172910662824208,0.0,0.0,,
strategy1_median,harfbuzz,324,324,1161.0,3.4953703703703702,3.0,1.0,3.0,3.5833333333333335,0.0,0.0,,
strategy1_median,icu,302,302,2241.0,7.187086092715232,4.0,1.0,4.0,7.420529801324503,0.0,0.0,,
strategy1_median,leptonica,114,114,2896.0,25.31578947368421,22.0,1.0,22.0,25.403508771929825,0.0,0.0,,
strategy1_median,libarchive,199,199,11219.0,56.175879396984925,44.5,1.0,44.5,56.37688442211055,0.0,0.0,,
strategy1_median,libavc,71,71,34210.0,481.83098591549293,212.0,1.0,212.0,481.83098591549293,0.0,0.0,,
strategy1_median,libjxl,175,175,658.0,3.76,4.0,1.0,4.0,3.76,0.0,0.0,,
strategy1_median,libvips,174,174,201.0,1.1408045977011494,1.5,1.0,1.5,1.1551724137931034,0.0,0.0,,
strategy1_median,mruby,648,648,2311.0,3.5239197530864197,2.0,1.0,2.0,3.566358024691358,0.0,0.0,,
strategy1_median,net-snmp,67,67,170.0,2.537313432835821,2.0,1.0,2.0,2.537313432835821,0.0,0.0,,
strategy1_median,open62541,355,355,1420.0,3.788732394366197,4.0,1.0,4.0,4.0,0.0,0.0,,
strategy1_median,openthread,464,464,928.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,
strategy1_median,serenity,225,225,347.0,1.4377777777777778,2.0,1.0,2.0,1.5422222222222222,0.0,0.0,,
strategy1_median,wolfssl,511,511,9463.0,18.518590998043052,17.0,1.0,17.0,18.518590998043052,0.0,0.0,,
strategy2_random,arrow,249,249,2166.0,,2.0,1.0,2.0,8.698795180722891,0.0,0.0,8.182272444651938,
strategy2_random,c-blosc2,89,89,5971.0,,43.0,1.0,43.0,67.08988764044943,0.0,0.0,66.62602272286016,
strategy2_random,clamav,59,59,9204.0,,118.0,1.0,118.0,156.0,0.0,0.0,155.50115323715212,
strategy2_random,curl,605,605,1327.0,,2.0,1.0,2.0,2.193388429752066,0.0,0.0,1.7309615665411013,
strategy2_random,file,80,80,304.0,,2.0,1.0,2.0,3.8,0.0,0.0,3.2520079961510824,
strategy2_random,fluent-bit,347,347,9718.0,,6.0,1.0,6.0,28.00576368876081,0.0,0.0,27.51367730617373,
strategy2_random,harfbuzz,324,324,3682.0,,3.0,1.0,3.0,11.364197530864198,0.0,0.0,10.865071566398065,
strategy2_random,icu,302,302,2565.0,,4.0,1.0,4.0,8.493377483443709,0.0,0.0,8.01248295649735,
strategy2_random,leptonica,114,114,3242.0,,22.0,1.0,22.0,28.43859649122807,0.0,0.0,27.89454925584147,
strategy2_random,libarchive,199,199,17659.0,,44.5,1.0,44.5,88.73869346733669,0.0,0.0,88.24772653215864,
strategy2_random,libavc,71,71,30212.0,,212.0,1.0,212.0,425.5211267605634,0.0,0.0,425.2516095721402,
strategy2_random,libjxl,175,175,1245.0,,4.0,1.0,4.0,7.114285714285714,0.0,0.0,6.612874068064574,
