strategy,project,schedule_date,threshold,scheduled_builds,consumed_builds,wasted_within_event,success,expired,detection_id,classification,evaluation_baseline,evaluation_trial,vulnerability_ids,baseline_vulnerability_ids,detections_count,baseline_detections_count
strategy1_median,arrow,2020-08-04,1.0,3.0,3.0,0.0,True,False,39.0,tp,0.0,3.0,"20695,20181,21420","20113,20115,20116,20120,20123,20124,20135,20139,20665,20666,20669,20670,20681,20685,23848,27474,27475,37915,20697,20698,23868,37927,41143,63679,20186,20199,20203,20711,20721,20735,40902,21680,21681,23916,25332,41221",3,36
strategy1_median,arrow,2020-08-10,8.0,3.0,2.0,1.0,True,False,40.0,tp,6.0,9.0,27731,,1,0
strategy1_median,arrow,2020-08-24,23.0,3.0,3.0,0.0,True,False,47.0,tp,20.0,23.0,20575,"24101,20897,20940,20989,21009,21106",1,6
strategy1_median,arrow,2020-08-25,27.0,3.0,0.0,3.0,False,False,,fp,21.0,24.0,,,0,0
strategy1_median,arrow,2020-08-27,27.0,3.0,0.0,3.0,False,False,,fp,23.0,26.0,,,0,0
strategy1_median,arrow,2020-09-02,40.0,3.0,0.0,3.0,False,False,,fp,29.0,32.0,,21166,0,1
strategy1_median,arrow,2020-09-07,40.0,3.0,0.0,3.0,False,False,,fp,34.0,37.0,,,0,0
strategy1_median,arrow,2020-09-21,51.0,3.0,3.0,0.0,True,False,52.0,tp,48.0,51.0,21567,"26829,21453,21039",1,3
strategy1_median,arrow,2020-09-22,195.0,3.0,0.0,3.0,False,False,,fp,49.0,52.0,,,0,0
strategy1_median,arrow,2020-09-24,195.0,3.0,0.0,3.0,False,False,,fp,51.0,54.0,,,0,0
strategy1_median,arrow,2020-09-26,195.0,3.0,0.0,3.0,False,False,,fp,53.0,56.0,,,0,0
strategy1_median,arrow,2020-09-30,195.0,3.0,0.0,3.0,False,False,,fp,57.0,60.0,,,0,0
strategy1_median,arrow,2020-10-01,195.0,3.0,0.0,3.0,False,False,,fp,58.0,61.0,,,0,0
strategy1_median,arrow,2020-10-05,195.0,3.0,0.0,3.0,False,False,,fp,62.0,65.0,,,0,0
strategy1_median,arrow,2020-10-07,195.0,3.0,0.0,3.0,False,False,,fp,64.0,67.0,,,0,0
strategy1_median,arrow,2020-10-08,195.0,3.0,0.0,3.0,False,False,,fp,65.0,68.0,,,0,0
strategy1_median,arrow,2020-10-19,195.0,3.0,0.0,3.0,False,False,,fp,76.0,79.0,,,0,0
strategy1_median,arrow,2020-10-20,195.0,3.0,0.0,3.0,False,False,,fp,77.0,80.0,,,0,0
strategy1_median,arrow,2020-10-21,195.0,3.0,0.0,3.0,False,False,,fp,78.0,81.0,,,0,0
strategy1_median,arrow,2020-10-23,195.0,3.0,0.0,3.0,False,False,,fp,80.0,83.0,,,0,0
strategy1_median,arrow,2020-10-29,195.0,3.0,0.0,3.0,False,False,,fp,86.0,89.0,,,0,0
strategy1_median,arrow,2020-11-11,195.0,3.0,0.0,3.0,False,False,,fp,99.0,102.0,,,0,0
strategy1_median,arrow,2020-11-23,195.0,3.0,0.0,3.0,False,False,,fp,111.0,114.0,,,0,0
strategy1_median,arrow,2020-11-24,195.0,3.0,0.0,3.0,False,False,,fp,112.0,115.0,,,0,0
strategy1_median,arrow,2020-11-30,195.0,3.0,0.0,3.0,False,False,,fp,118.0,121.0,,,0,0
strategy1_median,arrow,2020-12-02,195.0,3.0,0.0,3.0,False,False,,fp,120.0,123.0,,,0,0
strategy1_median,arrow,2020-12-07,195.0,3.0,0.0,3.0,False,False,,fp,125.0,128.0,,,0,0
strategy1_median,arrow,2020-12-08,195.0,3.0,0.0,3.0,False,False,,fp,126.0,129.0,,,0,0
strategy1_median,arrow,2020-12-14,195.0,3.0,0.0,3.0,False,False,,fp,132.0,135.0,,,0,0
strategy1_median,arrow,2020-12-15,195.0,3.0,0.0,3.0,False,False,,fp,133.0,136.0,,,0,0
strategy1_median,arrow,2020-12-18,195.0,3.0,0.0,3.0,False,False,,fp,136.0,139.0,,,0,0
strategy1_median,arrow,2021-01-06,195.0,3.0,0.0,3.0,False,False,,fp,155.0,158.0,,,0,0
strategy1_median,arrow,2021-01-25,195.0,3.0,0.0,3.0,False,False,,fp,174.0,177.0,,,0,0
strategy1_median,arrow,2021-01-28,195.0,3.0,0.0,3.0,False,False,,fp,177.0,180.0,,,0,0
strategy1_median,arrow,2021-02-09,195.0,3.0,0.0,3.0,False,False,,fp,189.0,192.0,,,0,0
strategy1_median,arrow,2021-02-10,195.0,3.0,0.0,3.0,False,False,,fp,190.0,193.0,,,0,0
strategy1_median,arrow,2021-02-16,230.0,3.0,0.0,3.0,False,False,,fp,196.0,199.0,,25933,0,1
strategy1_median,arrow,2021-02-17,230.0,3.0,0.0,3.0,False,False,,fp,197.0,200.0,,,0,0
strategy1_median,arrow,2021-02-26,230.0,3.0,0.0,3.0,False,False,,fp,206.0,209.0,,,0,0
strategy1_median,arrow,2021-03-02,230.0,3.0,0.0,3.0,False,False,,fp,210.0,213.0,,,0,0
strategy1_median,arrow,2021-03-09,230.0,3.0,0.0,3.0,False,False,,fp,217.0,220.0,,,0,0
strategy1_median,arrow,2021-03-12,230.0,3.0,0.0,3.0,False,False,,fp,220.0,223.0,,,0,0
strategy1_median,arrow,2021-03-16,230.0,3.0,0.0,3.0,False,False,,fp,224.0,227.0,,,0,0
strategy1_median,arrow,2021-03-17,230.0,3.0,0.0,3.0,False,False,,fp,225.0,228.0,,,0,0
strategy1_median,arrow,2021-03-23,inf,3.0,0.0,3.0,False,False,,baseline_only,231.0,234.0,,26064,0,1
strategy1_median,arrow,2021-03-24,inf,3.0,0.0,3.0,False,False,,baseline_only,232.0,235.0,,,0,0
strategy1_median,arrow,2021-03-26,inf,3.0,0.0,3.0,False,False,,baseline_only,234.0,237.0,,,0,0
strategy1_median,arrow,2021-04-01,inf,3.0,0.0,3.0,False,False,,baseline_only,240.0,243.0,,,0,0
strategy1_median,arrow,2021-04-12,inf,3.0,0.0,3.0,False,False,,baseline_only,251.0,254.0,,,0,0
strategy1_median,arrow,2021-04-13,inf,3.0,0.0,3.0,False,False,,baseline_only,252.0,255.0,,,0,0
strategy1_median,arrow,2021-04-14,inf,3.0,0.0,3.0,False,False,,baseline_only,253.0,256.0,,,0,0
strategy1_median,arrow,2021-04-15,inf,3.0,0.0,3.0,False,False,,baseline_only,254.0,257.0,,,0,0
strategy1_median,arrow,2021-04-19,inf,3.0,0.0,3.0,False,False,,baseline_only,258.0,261.0,,,0,0
strategy1_median,arrow,2021-04-22,inf,3.0,0.0,3.0,False,False,,baseline_only,261.0,264.0,,,0,0
strategy1_median,arrow,2021-04-27,inf,3.0,0.0,3.0,False,False,,baseline_only,266.0,269.0,,,0,0
strategy1_median,arrow,2021-05-11,inf,3.0,0.0,3.0,False,False,,baseline_only,280.0,283.0,,,0,0
strategy1_median,arrow,2021-05-17,inf,3.0,0.0,3.0,False,False,,baseline_only,286.0,289.0,,,0,0
strategy1_median,arrow,2021-05-20,inf,3.0,0.0,3.0,False,False,,baseline_only,289.0,292.0,,,0,0
strategy1_median,arrow,2021-05-21,inf,3.0,0.0,3.0,False,False,,baseline_only,290.0,293.0,,,0,0
strategy1_median,arrow,2021-06-02,inf,3.0,0.0,3.0,False,False,,baseline_only,302.0,305.0,,,0,0
strategy1_median,arrow,2021-06-03,inf,3.0,0.0,3.0,False,False,,baseline_only,303.0,306.0,,,0,0
strategy1_median,arrow,2021-06-04,inf,3.0,0.0,3.0,False,False,,baseline_only,304.0,307.0,,,0,0
strategy1_median,arrow,2021-06-07,inf,3.0,0.0,3.0,False,False,,baseline_only,307.0,310.0,,,0,0
strategy1_median,arrow,2021-06-09,inf,3.0,0.0,3.0,False,False,,baseline_only,309.0,312.0,,,0,0
strategy1_median,arrow,2021-06-16,inf,3.0,0.0,3.0,False,False,,baseline_only,316.0,319.0,,,0,0
strategy1_median,arrow,2021-06-21,inf,3.0,0.0,3.0,False,False,,baseline_only,321.0,324.0,,,0,0
strategy1_median,arrow,2021-06-22,inf,3.0,0.0,3.0,False,False,,baseline_only,322.0,325.0,,,0,0
strategy1_median,arrow,2021-06-30,inf,3.0,0.0,3.0,False,False,,baseline_only,330.0,333.0,,,0,0
strategy1_median,arrow,2021-07-01,inf,3.0,0.0,3.0,False,False,,baseline_only,331.0,334.0,,,0,0
strategy1_median,arrow,2021-07-06,inf,3.0,0.0,3.0,False,False,,baseline_only,336.0,339.0,,,0,0
strategy1_median,arrow,2021-07-09,inf,3.0,0.0,3.0,False,False,,baseline_only,339.0,342.0,,,0,0
strategy1_median,arrow,2021-07-12,inf,3.0,0.0,3.0,False,False,,baseline_only,342.0,345.0,,,0,0
strategy1_median,arrow,2021-07-14,inf,3.0,0.0,3.0,False,False,,baseline_only,344.0,347.0,,,0,0
strategy1_median,arrow,2021-07-15,inf,3.0,0.0,3.0,False,False,,baseline_only,345.0,348.0,,,0,0
strategy1_median,arrow,2021-07-16,inf,3.0,0.0,3.0,False,False,,baseline_only,346.0,349.0,,,0,0
strategy1_median,arrow,2021-07-19,inf,3.0,0.0,3.0,False,False,,baseline_only,349.0,352.0,,,0,0
strategy1_median,arrow,2021-07-23,inf,3.0,0.0,3.0,False,False,,baseline_only,353.0,356.0,,,0,0
strategy1_median,arrow,2021-08-02,inf,3.0,0.0,3.0,False,False,,baseline_only,363.0,366.0,,,0,0
strategy1_median,arrow,2021-08-04,inf,3.0,0.0,3.0,False,False,,baseline_only,365.0,368.0,,,0,0
strategy1_median,arrow,2021-08-09,inf,3.0,0.0,3.0,False,False,,baseline_only,370.0,373.0,,,0,0
strategy1_median,arrow,2021-08-11,inf,3.0,0.0,3.0,False,False,,baseline_only,372.0,375.0,,,0,0
strategy1_median,arrow,2021-08-18,inf,3.0,0.0,3.0,False,False,,baseline_only,379.0,382.0,,,0,0
strategy1_median,arrow,2021-08-20,inf,3.0,0.0,3.0,False,False,,baseline_only,381.0,384.0,,,0,0
strategy1_median,arrow,2021-08-26,inf,3.0,0.0,3.0,False,False,,baseline_only,387.0,390.0,,,0,0
strategy1_median,arrow,2021-08-27,inf,3.0,0.0,3.0,False,False,,baseline_only,388.0,391.0,,,0,0
strategy1_median,arrow,2021-08-31,inf,3.0,0.0,3.0,False,False,,baseline_only,392.0,395.0,,,0,0
strategy1_median,arrow,2021-09-02,inf,3.0,0.0,3.0,False,False,,baseline_only,394.0,397.0,,,0,0
strategy1_median,arrow,2021-09-03,inf,3.0,0.0,3.0,False,False,,baseline_only,395.0,398.0,,,0,0
strategy1_median,arrow,2021-09-09,inf,3.0,0.0,3.0,False,False,,baseline_only,401.0,404.0,,,0,0
strategy1_median,arrow,2021-09-10,inf,3.0,0.0,3.0,False,False,,baseline_only,402.0,405.0,,,0,0
strategy1_median,arrow,2021-09-16,inf,3.0,0.0,3.0,False,False,,baseline_only,408.0,411.0,,,0,0
strategy1_median,arrow,2021-09-21,inf,3.0,0.0,3.0,False,False,,baseline_only,413.0,416.0,,,0,0
